岗位,公司,薪资,位置,公司性质,规模,工作领域,福利,学历,最低薪资,最高薪资,平均薪资
会计助理教师,哈尔滨市南岗区汇智财会学校,"[3.0, 5.0, 4.0]",哈尔滨-南岗区,民营公司,少于50人,"['教育', '培训', '院校']",[''],"""大专""",3.0,5.0,4.0
课程顾问及教务,哈尔滨市南岗区汇智财会学校,"[2.0, 4.0, 3.0]",哈尔滨,民营公司,少于50人,"['教育', '培训', '院校']",[''],"""中专""",2.0,4.0,3.0
网络营销,哈尔滨市南岗区汇智财会学校,"[2.0, 4.0, 3.0]",哈尔滨-南岗区,民营公司,少于50人,"['教育', '培训', '院校']",[''],[''],2.0,4.0,3.0
课程咨询顾问,哈尔滨市南岗区汇智财会学校,"[2.0, 4.0, 3.0]",哈尔滨-南岗区,民营公司,少于50人,"['教育', '培训', '院校']",[''],"""中专""",2.0,4.0,3.0
出纳文职,哈尔滨市南岗区汇智财会学校,"[2.0, 4.0, 3.0]",哈尔滨-南岗区,民营公司,少于50人,"['教育', '培训', '院校']",[''],[''],2.0,4.0,3.0
教务助理,哈尔滨市南岗区汇智财会学校,"[4.0, 5.0, 4.5]",哈尔滨-南岗区,民营公司,少于50人,"['教育', '培训', '院校']",[''],"""大专""",4.0,5.0,4.5
校园代理,哈尔滨市南岗区汇智财会学校,"[4.0, 5.0, 4.5]",哈尔滨,民营公司,少于50人,"['教育', '培训', '院校']",[''],"""中技""",4.0,5.0,4.5
会计实战教师,哈尔滨市南岗区汇智财会学校,"[5.0, 7.0, 6.0]",哈尔滨,民营公司,少于50人,"['教育', '培训', '院校']",[''],"""大专""",5.0,7.0,6.0
小米之家专卖店店长（黑龙江）,小米通讯技术有限公司,"[7.0, 12.0, 9.5]",哈尔滨-南岗区,民营公司,10000人以上,"['通信', '电信运营、增值服务']","['带薪年假', '五险一金', '绩效奖金', '节日福利']","""大专""",7.0,12.0,9.5
办公室文员,哈尔滨百龙空调设备工程有限公司,"[4.0, 5.0, 4.5]",哈尔滨-南岗区,民营公司,50-150人,"['机械', '设备', '重工']",[''],"""大专""",4.0,5.0,4.5
销售代表,哈尔滨百龙空调设备工程有限公司,"[7.0, 10.0, 8.5]",哈尔滨-南岗区,民营公司,50-150人,"['机械', '设备', '重工']",[''],"""大专""",7.0,10.0,8.5
环保工程师,哈尔滨百龙空调设备工程有限公司,"[4.0, 5.0, 4.5]",哈尔滨-南岗区,民营公司,50-150人,"['机械', '设备', '重工']",[''],"""本科""",4.0,5.0,4.5
VGRASS店长（哈尔滨）,上海维格娜丝时装有限公司,"[7.0, 10.0, 8.5]",哈尔滨-呼兰区,上市公司,少于50人,"['服装', '纺织', '皮革']","['五险一金', '绩效奖金', '专业培训', '带薪年假', '节日福利']","""中专""",7.0,10.0,8.5
VGRASS哈尔滨远大店长,上海维格娜丝时装有限公司,"[7.0, 22.0, 14.5]",哈尔滨,上市公司,少于50人,"['服装', '纺织', '皮革']","['五险一金', '绩效奖金', '专业培训', '带薪年假', '节日福利']","""大专""",7.0,22.0,14.5
VGRASS店长（哈尔滨杉杉）,上海维格娜丝时装有限公司,"[7.0, 18.0, 12.5]",哈尔滨-呼兰区,上市公司,少于50人,"['服装', '纺织', '皮革']","['五险一金', '绩效奖金', '专业培训', '带薪年假', '节日福利']","""大专""",7.0,18.0,12.5
肯德基餐厅储备经理-五常,百胜餐饮（沈阳）有限公司哈尔滨分公司,"[4.0, 4.0, 4.0]",哈尔滨-五常市,外资（欧美）,10000人以上,['餐饮业'],"['五险一金', '带薪年假', '绩效奖金', '节日福利', '专业培训', '做五休二', '弹性工作', '岗位晋升', '年度体检', '年度旅游']","""大专""",4.0,4.0,4.0
必胜客餐厅储备经理-哈尔滨,百胜餐饮（沈阳）有限公司哈尔滨分公司,"[4.0, 5.0, 4.5]",哈尔滨,外资（欧美）,10000人以上,['餐饮业'],"['做五休二', '弹性工作', '带薪年假', '五险一金', '节日福利', '专业培训', '绩效奖金', '岗位晋升', '年度体检', '年度旅游']","""本科""",4.0,5.0,4.5
必胜客宅急送餐厅储备经理-哈尔滨,百胜餐饮（沈阳）有限公司哈尔滨分公司,"[4.0, 5.0, 4.5]",哈尔滨,外资（欧美）,10000人以上,['餐饮业'],"['做五休二', '弹性工作', '带薪年假', '五险一金', '节日福利', '专业培训', '绩效奖金', '岗位晋升', '年度体检', '年度旅游']","""本科""",4.0,5.0,4.5
肯德基餐厅储备经理-哈尔滨,百胜餐饮（沈阳）有限公司哈尔滨分公司,"[4.0, 5.0, 4.5]",哈尔滨,外资（欧美）,10000人以上,['餐饮业'],"['做五休二', '弹性工作', '带薪年假', '五险一金', '节日福利', '专业培训', '绩效奖金', '岗位晋升', '年度体检', '年度旅游']","""本科""",4.0,5.0,4.5
肯德基餐厅储备经理-双城,百胜餐饮（沈阳）有限公司哈尔滨分公司,"[4.0, 4.0, 4.0]",哈尔滨-双城区,外资（欧美）,10000人以上,['餐饮业'],"['做五休二', '弹性工作', '带薪年假', '五险一金', '节日福利', '专业培训', '绩效奖金', '岗位晋升', '年度体检', '年度旅游']",[''],4.0,4.0,4.0
肯德基储备经理-尚志,百胜餐饮（沈阳）有限公司哈尔滨分公司,"[4.0, 4.0, 4.0]",哈尔滨-尚志市,外资（欧美）,10000人以上,['餐饮业'],"['做五休二', '弹性工作', '带薪年假', '五险一金', '节日福利', '专业培训', '绩效奖金', '岗位晋升', '年度体检', '年度旅游']",[''],4.0,4.0,4.0
肯德基餐厅储备经理-宾县,百胜餐饮（沈阳）有限公司哈尔滨分公司,"[4.0, 4.0, 4.0]",哈尔滨-宾县,外资（欧美）,10000人以上,['餐饮业'],"['做五休二', '弹性工作', '带薪年假', '五险一金', '节日福利', '专业培训', '绩效奖金', '岗位晋升', '年度体检', '年度族游']","""大专""",4.0,4.0,4.0
肯德基餐厅储备经理-阿城,百胜餐饮（沈阳）有限公司哈尔滨分公司,"[4.0, 4.0, 4.0]",哈尔滨-阿城区,外资（欧美）,10000人以上,['餐饮业'],"['做五休二', '弹性工作', '带薪年假', '五险一金', '节日福利', '专业培训', '绩效奖金', '岗位晋升', '年度体检', '年度旅游']","""大专""",4.0,4.0,4.0
必胜客餐厅储备经理-阿城,百胜餐饮（沈阳）有限公司哈尔滨分公司,"[4.0, 4.0, 4.0]",哈尔滨-阿城区,外资（欧美）,10000人以上,['餐饮业'],"['做五休二', '弹性工作', '带薪年假', '五险一金', '节日福利', '专业培训', '绩效奖金', '岗位晋升', '年度体检', '年度族游']","""大专""",4.0,4.0,4.0
财务主管\财务经理\财务总监,百胜餐饮（沈阳）有限公司哈尔滨分公司,"[22.0, 30.0, 26.0]",哈尔滨-南岗区,外资（欧美）,10000人以上,['餐饮业'],"['做五休二', '带薪年假', '绩效奖金', '七险一金', '绩效调薪', '免息房贷', '购房利息补贴', '交通补贴', '定期体检', '专业培训']","""本科""",22.0,30.0,26.0
开发专员,百胜餐饮（沈阳）有限公司哈尔滨分公司,"[6.0, 12.0, 9.0]",哈尔滨-道里区,外资（欧美）,10000人以上,['餐饮业'],"['带薪年假', '绩效奖金', '节日福利', '专业培训', '补充医疗保险', '定期体检', '每周双休', '七险一金', '平台发展', '通讯补贴']","""本科""",6.0,12.0,9.0
人力资源专员,百胜餐饮（沈阳）有限公司哈尔滨分公司,"[7.0, 12.0, 9.5]",哈尔滨-道里区,外资（欧美）,10000人以上,['餐饮业'],"['带薪年假', '绩效奖金', '节日福利', '专业培训', '补充医疗保险', '定期体检', '每周双休', '七险一金', '平台发展', '做五休二']","""本科""",7.0,12.0,9.5
财务专员\主管,百胜餐饮（沈阳）有限公司哈尔滨分公司,"[5.0, 7.0, 6.0]",哈尔滨-道里区,外资（欧美）,10000人以上,['餐饮业'],"['带薪年假', '绩效奖金', '节日福利', '专业培训', '补充医疗保险', '定期体检', '每周双休', '平台发展', '做五休二', '五险一金']","""本科""",5.0,7.0,6.0
百胜中国肯德基校园招聘-营运管培生,杭州肯德基有限公司,"[5.0, 6.0, 5.5]",异地招聘,上市公司,10000人以上,['快速消费品(食品、饮料、化妆品)'],[''],"""本科""",5.0,6.0,5.5
仓库管理员,罗克韦尔自动化控制集成（上海）有限公司,"[3.0, 4.0, 3.5]",哈尔滨-南岗区,外资（欧美）,少于50人,"['电子技术', '半导体', '集成电路']","['周末双休', '带薪年假', '免费班车', '专业培训', '节日福利', '绩效奖金', '员工旅游', '五险']","""大专""",3.0,4.0,3.5
生产操作工,罗克韦尔自动化控制集成（上海）有限公司,"[3.0, 4.0, 3.5]",哈尔滨-南岗区,外资（欧美）,少于50人,"['电子技术', '半导体', '集成电路']","['周末双休', '带薪年假', '免费班车', '专业培训', '节日福利', '绩效奖金', '五险']","""中专""",3.0,4.0,3.5
美团在线客服,哈尔滨银楷科技发展有限公司,"[4.0, 5.0, 4.5]",哈尔滨-南岗区,民营公司,150-500人,"['通信', '电信', '网络设备']","['公司供餐', '五险一金', '全勤奖', '节日福利', '交通补贴']","""无需经验""",4.0,5.0,4.5
九牧伊春直营店经理,哈尔滨好饰家建材有限公司,"[7.0, 10.0, 8.5]",哈尔滨,民营公司,150-500人,"['建筑', '建材', '工程']","['员工旅游', '节日福利']","""大专""",7.0,10.0,8.5
管理培训生（奖金+绩效+住宿）,黑龙江省利末记互联网科技有限公司,"[7.0, 10.0, 8.5]",哈尔滨-南岗区,民营公司,50-150人,"['批发', '零售']","['五险一金', '员工旅游', '出国机会', '专业培训', '绩效奖金', '年终奖金', '弹性工作', '提供住宿', '定期团建']","""大专""",7.0,10.0,8.5
销售代表（无责3000+住宿+奖金）,黑龙江省利末记互联网科技有限公司,"[8.0, 10.0, 9.0]",哈尔滨-南岗区,民营公司,50-150人,"['批发', '零售']","['五险一金', '员工旅游', '出国机会', '专业培训', '绩效奖金', '年终奖金', '弹性工作', '提供住宿', '定期团建']","""大专""",8.0,10.0,9.0
.NET开发工程师,黑龙江弘远融创科技有限公司,"[4.0, 7.0, 5.5]",哈尔滨-南岗区,民营公司,少于50人,['计算机软件'],"['五险一金', '节日福利', '交通补贴', '餐饮补贴', '通讯补贴', '绩效奖金']","""大专""",4.0,7.0,5.5
人事行政助理\文员（奖金+住宿）,黑龙江省利末记互联网科技有限公司,"[4.0, 6.0, 5.0]",哈尔滨-南岗区,民营公司,50-150人,"['批发', '零售']","['弹性工作', '包住宿', '专业培训', '节日福利', '绩效奖金', '五险一金', '带薪年假', '定期团建活动', '年终奖金', '总部进修培训']","""大专""",4.0,6.0,5.0
人事助理\人事专员3000-5000（培训+住宿+奖金）,黑龙江省利末记互联网科技有限公司,"[4.0, 6.0, 5.0]",哈尔滨-南岗区,民营公司,50-150人,"['批发', '零售']","['五险一金', '员工旅游', '出国机会', '专业培训', '绩效奖金', '年终奖金', '弹性工作', '提供住宿', '定期团建']","""大专""",4.0,6.0,5.0
定制设计助理,哈尔滨好饰家建材有限公司,"[2.0, 5.0, 3.5]",哈尔滨,民营公司,150-500人,"['建筑', '建材', '工程']","['员工旅游', '节日福利']","""中专""",2.0,5.0,3.5
工程销售经理,哈尔滨好饰家建材有限公司,"[5.0, 7.0, 6.0]",哈尔滨,民营公司,150-500人,"['建筑', '建材', '工程']","['员工旅游', '节日福利']","""大专""",5.0,7.0,6.0
外阜区域经理,哈尔滨好饰家建材有限公司,"[5.0, 7.0, 6.0]",哈尔滨,民营公司,150-500人,"['建筑', '建材', '工程']","['员工旅游', '节日福利']","""大专""",5.0,7.0,6.0
外阜营销策划经理,哈尔滨好饰家建材有限公司,"[5.0, 7.0, 6.0]",哈尔滨,民营公司,150-500人,"['建筑', '建材', '工程']","['员工旅游', '节日福利']","""大专""",5.0,7.0,6.0
售后信息员,哈尔滨好饰家建材有限公司,"[4.0, 5.0, 4.5]",哈尔滨-松北区,民营公司,150-500人,"['建筑', '建材', '工程']","['员工旅游', '节日福利']","""大专""",4.0,5.0,4.5
金牛管业务经理,哈尔滨好饰家建材有限公司,"[4.0, 5.0, 4.5]",哈尔滨-松北区,民营公司,150-500人,"['建筑', '建材', '工程']","['员工旅游', '绩效奖金', '节日福利', '带薪年假']","""大专""",4.0,5.0,4.5
渠道专员,哈尔滨好饰家建材有限公司,"[4.0, 5.0, 4.5]",哈尔滨-松北区,民营公司,150-500人,"['建筑', '建材', '工程']","['员工旅游', '绩效奖金', '节日福利', '带薪年假']","""大专""",4.0,5.0,4.5
市场部专员,哈尔滨好饰家建材有限公司,"[4.0, 6.0, 5.0]",哈尔滨-松北区,民营公司,150-500人,"['建筑', '建材', '工程']","['员工旅游', '绩效奖金', '节日福利', '带薪年假']","""大专""",4.0,6.0,5.0
散热器分销专员,哈尔滨好饰家建材有限公司,"[4.0, 6.0, 5.0]",哈尔滨-松北区,民营公司,150-500人,"['建筑', '建材', '工程']","['员工旅游', '绩效奖金', '节日福利', '带薪年假']","""中专""",4.0,6.0,5.0
散热器分销经理,哈尔滨好饰家建材有限公司,"[6.0, 12.0, 9.0]",哈尔滨-松北区,民营公司,150-500人,"['建筑', '建材', '工程']","['员工旅游', '绩效奖金', '节日福利', '带薪年假']","""大专""",6.0,12.0,9.0
九牧卫浴店面经理,哈尔滨好饰家建材有限公司,"[6.0, 8.0, 7.0]",哈尔滨,民营公司,150-500人,"['建筑', '建材', '工程']","['无责任底薪', '绩效', '年底分红', '智能产品奖励', '定期培训', '员工旅游', '带薪年假']","""大专""",6.0,8.0,7.0
九牧卫浴店面销售顾问,哈尔滨好饰家建材有限公司,"[5.0, 6.0, 5.5]",哈尔滨,民营公司,150-500人,"['建筑', '建材', '工程']","['绩效奖金', '节日福利', '智能产品奖励', '定期培训', '员工旅游', '无责任底薪']","""大专""",5.0,6.0,5.5
列车乘辅警,河北京发电气化铁路科技开发有限公司,"[5.0, 7.0, 6.0]",异地招聘,民营公司,,['计算机软件'],"['加班补贴', '带薪年假', '包吃', '包住宿', '五险']","""无需经验""",5.0,7.0,6.0
乘务员,河北京发电气化铁路科技开发有限公司,"[7.0, 10.0, 8.5]",异地招聘,民营公司,,['计算机软件'],"['包吃', '包住宿', '绩效奖金', '全勤奖', '加班补贴', '专业培训', '餐饮补贴', '带薪年假']","""中专""",7.0,10.0,8.5
高铁安检员,河北京发电气化铁路科技开发有限公司,"[5.0, 7.0, 6.0]",异地招聘,民营公司,,['计算机软件'],"['弹性工作', '带薪年假', '免费班车', '包住宿', '五险一金', '全勤奖', '绩效奖金', '加班补贴', '包三餐', '专业培训']","""无需经验""",5.0,7.0,6.0
高薪电话客服无责底薪包吃,哈尔滨壹柒壹网络科技有限公司,"[4.0, 5.0, 4.5]",哈尔滨-道里区,民营公司,50-150人,"['互联网', '电子商务']",[''],"""无需经验""",4.0,5.0,4.5
抖音音频主播（不露脸）,扬州永嘉文化传媒有限公司,"[6.0, 18.0, 12.0]",异地招聘,民营公司,50-150人,"['影视', '媒体', '艺术', '文化传播']","['可全职可兼职', '专业培训', '全勤奖', '绩效奖金', '节日福利', '弹性工作', '餐饮补贴', '加班补贴']","""无需经验""",6.0,18.0,12.0
网络主播（绿色平台）,扬州永嘉文化传媒有限公司,"[4.0, 18.0, 11.0]",异地招聘,民营公司,50-150人,"['影视', '媒体', '艺术', '文化传播']","['可全职可兼职', '专业培训', '全勤奖', '绩效奖金', '节日福利', '弹性工作', '餐饮补贴', '加班补贴']","""无需经验""",4.0,18.0,11.0
流通渠道专员\主管（可接受应届）,欧普照明股份有限公司,"[7.0, 10.0, 8.5]",哈尔滨,上市公司,5000-10000人,"['家具', '家电', '玩具', '礼品']","['五险一金', '员工旅游', '交通补贴', '餐饮补贴', '通讯补贴', '绩效奖金', '定期体检', '年终奖金']","""本科""",7.0,10.0,8.5
家装渠道专员\主管,欧普照明股份有限公司,"[10.0, 12.0, 11.0]",异地招聘,上市公司,5000-10000人,"['家具', '家电', '玩具', '礼品']","['五险一金', '员工旅游', '交通补贴', '餐饮补贴', '通讯补贴', '绩效奖金', '定期体检', '年终奖金']","""本科""",10.0,12.0,11.0
办事处经理,欧普照明股份有限公司,"[7.0, 10.0, 8.5]",哈尔滨,上市公司,5000-10000人,"['家具', '家电', '玩具', '礼品']","['五险一金', '员工旅游', '绩效奖金', '年终奖金', '弹性工作', '定期体检', '专业培训']","""大专""",7.0,10.0,8.5
软件项目经理,哈尔滨汉唐东方软件技术有限公司,"[7.0, 12.0, 9.5]",异地招聘,民营公司,50-150人,['计算机软件'],"['五险一金', '交通补贴', '餐饮补贴']","""本科""",7.0,12.0,9.5
电气自动化工程师,哈尔滨汉唐东方软件技术有限公司,"[5.0, 7.0, 6.0]",哈尔滨-香坊区,民营公司,50-150人,['计算机软件'],"['五险一金', '交通补贴']","""大专""",5.0,7.0,6.0
研发工程师,哈尔滨汉唐东方软件技术有限公司,"[6.0, 10.0, 8.0]",哈尔滨-香坊区,民营公司,50-150人,['计算机软件'],"['五险一金', '交通补贴']","""本科""",6.0,10.0,8.0
软件工程师Java,哈尔滨汉唐东方软件技术有限公司,"[6.0, 10.0, 8.0]",哈尔滨-香坊区,民营公司,50-150人,['计算机软件'],"['五险一金', '交通补贴']","""本科""",6.0,10.0,8.0
