岗位,公司,薪资,位置,公司性质,规模,工作领域,福利,学历,最低薪资,最高薪资,平均薪资
初中化学老师\双休五险,五常市百川文化教育机构,"[7.0, 10.0, 8.5]",哈尔滨-五常市,民营公司,150-500人,"['教育', '培训', '院校']","['保险', '双休', '提供食宿', '子女免费入学', '带薪培训', '员工旅游', '绩效奖金', '年终奖金', '课时奖金', '续班奖金']","""大专""",7.0,10.0,8.5
历史老师-五常\双休五险,五常市百川文化教育机构,"[10.0, 12.0, 11.0]",哈尔滨-五常市,民营公司,150-500人,"['教育', '培训', '院校']","['保险', '双休', '提供食宿', '子女免费入学', '带薪培训', '员工旅游', '绩效奖金', '年终奖金', '续班奖金', '课时奖金']","""大专""",10.0,12.0,11.0
政治老师-五常\双休五险,五常市百川文化教育机构,"[10.0, 12.0, 11.0]",哈尔滨-五常市,民营公司,150-500人,"['教育', '培训', '院校']","['保险', '双休', '提供食宿', '寒暑假', '子女免费入学', '带薪培训', '员工旅游', '绩效奖金', '年终奖金']","""大专""",10.0,12.0,11.0
高中化学老师\双休五险,五常市百川文化教育机构,"[10.0, 12.0, 11.0]",哈尔滨-五常市,民营公司,150-500人,"['教育', '培训', '院校']","['保险', '双休', '提供食宿', '寒暑假', '子女免费入学', '带薪培训', '员工旅游', '绩效奖金', '年终奖金']","""大专""",10.0,12.0,11.0
化学老师-五常\双休五险,五常市百川文化教育机构,"[7.0, 10.0, 8.5]",哈尔滨-五常市,民营公司,150-500人,"['教育', '培训', '院校']","['保险', '双休', '提供食宿', '子女免费入学', '带薪培训', '员工旅游', '绩效奖金', '年终奖金', '课时奖金', '续班奖金']","""大专""",7.0,10.0,8.5
高中物理老师\双休五险,五常市百川文化教育机构,"[10.0, 12.0, 11.0]",哈尔滨-五常市,民营公司,150-500人,"['教育', '培训', '院校']","['保险', '双休', '提供食宿', '寒暑假', '子女免费入学', '带薪培训', '员工旅游', '绩效奖金', '年终奖金', '课时奖金']","""大专""",10.0,12.0,11.0
数学老师\五险年假,五常市百川文化教育机构,"[7.0, 10.0, 8.5]",哈尔滨-南岗区,民营公司,150-500人,"['教育', '培训', '院校']","['保险', '提供食宿', '子女免费入学', '带薪培训', '员工旅游', '绩效奖金', '年终奖金', '带薪年假', '交通补贴', '满勤']","""大专""",7.0,10.0,8.5
小学数学老师\五险,五常市百川文化教育机构,"[7.0, 10.0, 8.5]",哈尔滨-五常市,民营公司,150-500人,"['教育', '培训', '院校']","['保险', '提供食宿', '子女免费入学', '带薪培训', '员工旅游', '绩效奖金', '年终奖金']","""大专""",7.0,10.0,8.5
初中数学老师\双休五险,五常市百川文化教育机构,"[7.0, 10.0, 8.5]",哈尔滨-五常市,民营公司,150-500人,"['教育', '培训', '院校']","['保险', '双休', '提供食宿', '子女免费入学', '带薪培训', '员工旅游', '绩效奖金', '年终奖金', '续班奖金', '课时奖金']","""大专""",7.0,10.0,8.5
高中数学老师\双休五险,五常市百川文化教育机构,"[10.0, 12.0, 11.0]",哈尔滨-五常市,民营公司,150-500人,"['教育', '培训', '院校']","['保险', '双休', '提供食宿', '寒暑假', '子女免费入学', '带薪培训', '员工旅游', '绩效奖金', '年终奖金', '课时奖金']","""大专""",10.0,12.0,11.0
