销售工程师（东北）,上海宝亚安全装备股份有限公司,6-10,异地招聘,民营公司,50-150人,机械\设备\重工,"['五险一金', '绩效奖金', '通讯补贴', '餐饮补贴', '股票期权', '定期体检', '专业培训']",['']
设备维修电工,长春长光宇航复合材料有限公司,5-7,长春-高新技术产业开发区,民营公司,150-500人,航天\航空,"['免费班车', '五险一金', '节日福利', '交通补贴', '通讯补贴', '定期体检', '年底奖金']","""中技"""
省区招商经理（吉林）,山西德元堂药业有限公司,12-18,长春,民营公司,500-1000人,制药\生物工程,[''],"""大专"""
版图设计,长春长光辰芯光电技术有限公司,7-10,长春-经济技术开发区,民营公司,150-500人,电子技术\半导体\集成电路,"['五险一金', '定期体检', '员工旅游']","""本科"""
软件实施工程师,东方永德软件（北京）有限公司,5-10,长春-南关区,民营公司,50-150人,计算机软件,"['五险一金', '餐饮补贴', '绩效奖金', '年终奖金', '定期体检']","""大专"""
市场活动专员,雅马哈音乐中心,4-7,长春-朝阳区,合资,150-500人,教育\培训\院校,"['专业培训', '绩效奖金', '缴纳五险']","""大专"""
弱电施工,长春市宇瞳科技有限公司,5-7,长春-绿园区,民营公司,,计算机软件,[''],"""高中"""
期货操盘手（底薪制）,杭州柒方网络科技有限公司,10-12,异地招聘,民营公司,50-150人,计算机软件,[''],"""2年经验"""
酒店集团房务总监、康乐总监 、营销总监 、OTA经理,上海天延企业管理咨询有限公司,36-48,长春,民营公司,50-150人,专业服务(咨询、人力资源、财会),"['五险一金', '弹性工作', '加班补贴', '住房补贴', '绩效奖金', '餐饮补贴', '做五休二', '专业培训', '周末双休']","""大专"""
区域服务经理（全国）,一汽凌源汽车制造有限公司,7-8,异地招聘,民营公司,1000-5000人,汽车,"['五险一金', '免费班车', '通讯补贴']","""3-4年经验"""
销售主管\区域主管\城市主管,四川好彩头实业股份有限公司,7-10,异地招聘,民营公司,1000-5000人,快速消费品(食品、饮料、化妆品),"['通讯补贴', '绩效奖金', '餐饮补贴', '满勤奖', '年休假', '专业培训', '员工旅游']","""大专"""
项目执行（外勤）,“前程无忧”51job.com（长春）,5-7,长春,外资（非欧美）,50-150人,互联网\电子商务,"['周末双休', '五险一金', '补充医疗保险', '绩效奖金', '年终奖金', '定期体检', '带薪年假', '带薪病假', '交通补贴', '通讯补贴']","""大专"""
销售代表,斯想医疗科技（杭州）有限公司,7-10,长春-朝阳区,民营公司,50-150人,制药\生物工程,[''],"""大专"""
赴日建筑CAD制图正社员,大连新世界境外就业服务有限公司,14-19,异地招聘,民营公司,少于50人,中介服务,"['五险一金', '补充医疗保险', '补充公积金', '出国机会', '通讯补贴', '餐饮补贴', '交通补贴', '绩效奖金']","""大专"""
工程销售经理,深圳市第一企业管理咨询有限公司,12-18,长春,民营公司,少于50人,网络游戏,"['员工旅游', '餐饮补贴', '专业培训', '出国机会', '年终奖金', '绩效奖金']","""高中"""
文字编辑写作,珲春市卓越文学创作服务中心,4-5,异地招聘,民营公司,少于50人,文字媒体\出版,[''],"""大专"""
销售负责人（有趣的营销工具）,宁波云中慧眼智能科技有限公司,15-20,异地招聘,民营公司,少于50人,互联网\电子商务,"['五险一金', '弹性工作', '专业培训', '绩效奖金', '年终奖金', '交通补贴', '餐饮补贴', '通讯补贴', '补充公积金', '出国机会']","""3-4年经验"""
智能环控运营岗,吉林农安牧原农牧有限公司,10-12,长春-农安县,上市公司,10000人以上,农\林\牧\渔,"['绩效奖金', '交通补助', '弹性工作', '领导好', '扁平管理', '上市公司', '五险一金', '节日礼物', '子女福利', '包吃包住']","""大专"""
销售实习生,大连凯美化工工程配套有限公司,2-10,长春-高新技术产业开发区,民营公司,少于50人,贸易\进出口,"['五险一金', '带薪年假', '绩效奖金', '全勤奖', '交通补贴', '通讯补贴', '餐饮补贴']","""大专"""
Java开发工程师,南京烽火星空通信发展有限公司,10-19,长春,国企,1000-5000人,计算机软件,"['五险一金', '补充医疗保险', '餐饮补贴', '交通补贴', '年底双薪', '定期体检', '节日福利', '带薪年假']","""本科"""
消杀技术服务副主管（长春）,厦门净邦生物科技有限公司,4-6,长春,民营公司,50-150人,外包服务,"['五险一金', '交通补贴', '弹性工作', '年终奖金', '虫害培训', '做五休二', '团体险', '燃油津贴', '高温补贴', '周末双休']","""中专"""
机械工程师,长春市布拉泽医疗科技有限公司,4-5,长春-宽城区,民营公司,50-150人,医疗设备\器械,"['五险一金', '免费班车', '员工旅游', '餐饮补贴', '专业培训', '定期体检']","""本科"""
销售经理,上海卓越睿新数码科技有限公司,6-11,长春,民营公司,1000-5000人,互联网\电子商务,"['五险一金', '补充医疗保险', '交通补贴', '专业培训', '绩效奖金', '年终奖金', '定期体检']","""本科"""
医药信息顾问（长春肿瘤线）,江苏豪森药业集团有限公司—营销事业部,12-18,长春-朝阳区,民营公司,10000人以上,制药\生物工程,"['五险一金', '交通补贴', '餐饮补贴', '定期体检', '专业培训', '绩效奖金', '补充医疗保险']","""大专"""
房地产销售 无责任底薪,长春经济技术开发区铭家寰宇天下房屋中介店,12-18,长春-经济技术开发区,民营公司,,房地产,[''],"""无需经验"""
高薪诚聘电话客服,广州途辉企业管理有限公司,7-14,长春-南关区,民营公司,50-150人,专业服务(咨询、人力资源、财会),"['节日福利', '提成', '奖金']","""无需经验"""
污水调试技术员,上海原本生物科技有限公司,7-10,异地招聘,民营公司,50-150人,制药\生物工程,"['五险一金', '交通补贴', '餐饮补贴', '通讯补贴', '专业培训', '年终奖金', '中科院背景', '员工旅游', '股票期权', '绩效奖金']","""大专"""
zf 大客户经理(18-25W 吉林),湖北谷瑞特生物技术有限公司,16-24,长春,上市公司,150-500人,农\林\牧\渔,"['五险一金', '补充医疗保险', '员工旅游', '交通补贴', '年终奖金', '弹性工作', '专业培训', '通讯补贴', '餐饮补贴', '出国机会']","""本科"""
腾讯广告销售,吉林省新舟智能科技有限公司,7-10,长春-二道区,民营公司,少于50人,广告,"['做五休二', '周末双休', '带薪年假', '全勤奖', '五险一金', '绩效奖金', '专业培训', '餐饮补贴', '节日福利']","""大专"""
办公室销售不跑外无责底薪,泰康人寿保险有限责任公司吉林分公司,7-10,长春-绿园区,上市公司,10000人以上,保险,"['五险一金', '绩效奖金', '年终奖金', '周末双休', '员工旅游', '专业培训', '定期体检', '冬季采暖补助']","""无需经验"""
女装店长（长春）,宁波杉杉奥莱跨境贸易有限公司,10-14,长春-二道区,民营公司,150-500人,贸易\进出口,"['五险一金', '员工旅游', '交通补贴', '餐饮补贴', '通讯补贴', '专业培训', '绩效奖金', '年终奖金', '定期体检']","""大专"""
招生顾问,长沙锐顺投资咨询有限公司,4-5,异地招聘,民营公司,50-150人,金融\投资\证券,[''],"""中专"""
安正男装招导购（赛特新开店） (MJ001389),安正时尚集团股份有限公司,5-10,长春-南关区,上市公司,1000-5000人,服装\纺织\皮革,"['带薪年假', '五险一金', '绩效奖金', '全勤奖', '节日福利', '专业培训']","""高中"""
房地产置业顾问,长春市合众房地产经纪有限公司,10-36,长春-南关区,民营公司,1000-5000人,中介服务,"['专业培训', '绩效奖金']","""高中"""
招商银行信用卡中心销售专岗,招商银行股份有限公司信用卡中心,10-12,长春,上市公司,10000人以上,银行,"['五险一金', '员工旅游', '专业培训', '绩效奖金', '定期体检']","""本科"""
8-12k大数据分析师（可培养）,北京政星企业管理有限公司,10-18,异地招聘,民营公司,150-500人,计算机服务(系统、数据服务、维修),"['五险一金', '绩效奖金', '年终奖金', '周末双休']","""大专"""
8k大数据分析师（应届岗位）,北京联科数信科技有限公司,10-18,异地招聘,民营公司,150-500人,计算机软件,"['五险一金', '专业培训', '弹性工作', '交通补贴']","""大专"""
线上网络主播+帮你交税+提成都给你+专业运营,河南程锦文化传媒有限公司,18-24,异地招聘,民营公司,50-150人,影视\媒体\艺术\文化传播,"['年终奖金', '专业培训', '弹性工作', '员工旅游']","""无需经验"""
吉林省省经理,香港宝乐迪食品有限公司,10-12,长春-朝阳区,合资,150-500人,快速消费品(食品、饮料、化妆品),"['弹性工作', '交通补贴', '绩效奖金', '通讯补贴', '带薪休假']","""大专"""
汽车电子电器设计工程师,吉林省蓝核汽车设计有限公司,7-10,长春,民营公司,50-150人,汽车,"['五险一金', '员工旅游', '年终奖金', '绩效奖金', '出国机会', '餐饮补贴', '弹性工作']","""本科"""
长春卓展 奢侈鞋品Giuseppe Zanotti  店主管,睿锦尚品国际贸易（上海）有限公司,10-12,异地招聘,民营公司,150-500人,批发\零售,"['五险一金', '绩效奖金', '专业培训', '带薪年假', '全勤奖']","""大专"""
公司食堂厨师,吉林建威会计师事务所（普通合伙）,4-4,长春-汽车产业开发区,民营公司,50-150人,会计\审计,['五险一金'],"""初中及以下"""
叉车工,吉林省冠中汽车零部件有限公司,4-5,长春,民营公司,150-500人,汽车,"['五险一金', '免费班车', '员工旅游', '年终奖金', '绩效奖金', '定期体检']","""初中及以下"""
大区经理,武汉城源通电力科技有限公司,30-40,长春-南关区,民营公司,少于50人,电气\电力\水利,[''],"""大专"""
水暖工,吉林海普科技发展有限公司,4-5,长春-朝阳区,民营公司,少于50人,环保,[''],"""中技"""
销售,长春市达因经贸有限公司,6-14,长春-汽车产业开发区,民营公司,少于50人,批发\零售,[''],"""大专"""
日语营业担当（跨境电商）,义乌玺岳电子商务有限公司,6-10,异地招聘,民营公司,少于50人,互联网\电子商务,"['员工旅游', '年终奖金', '定期体检', '全勤奖', '节日福利', '包住及餐补', '提成', '通讯补贴', '五险一金', '绩效奖金']","""大专"""
渠道销售经理,黑牛食品营销有限公司,8-12,异地招聘,民营公司,150-500人,快速消费品(食品、饮料、化妆品),"['五险一金', '年终奖金', '定期体检', '餐饮补贴', '通讯补贴']","""中技"""
直招景区巡逻员包食宿6500月,河北润庚物业管理有限公司,6-8,长春,民营公司,150-500人,物业管理\商业中心,"['全勤奖', '包三餐', '包住宿', '免费班车', '加班补贴', '餐饮补贴', '带薪年假', '高温补贴', '通讯补贴', '节日福利']","""无需经验"""
医药销售经理,河南愈安健康产业有限公司,10-29,异地招聘,民营公司,150-500人,制药\生物工程,"['健康中国2030', '全民营养计划', '蓝海项目', '高收入', '弹性工作']","""本科"""
小米之家店员（长春）,小米通讯技术有限公司,5-7,长春-宽城区,民营公司,10000人以上,通信\电信运营、增值服务,"['带薪年假', '五险一金', '绩效奖金', '专业培训', '节日福利', '做五休二', '弹性工作', '全勤奖']","""大专"""
模型业务代表,长春市交大增智技术创新中心有限公司,7-10,长春-宽城区,国企,少于50人,汽车零配件,"['五险一金', '交通补贴', '周末双休', '法定假日', '节日福利', '年终奖金']","""大专"""
销售工程师（长春）,上海晓乐东潮生物技术开发有限公司,6-10,长春-朝阳区,合资,少于50人,机械\设备\重工,"['五险一金', '专业培训', '餐饮补贴', '交通补贴', '做五休二', '带薪年假']","""本科"""
高铁站务员,河北京发电气化铁路科技开发有限公司,5-7,异地招聘,民营公司,,计算机软件,"['包吃', '包住宿', '绩效奖金', '全勤奖', '加班补贴', '免费班车', '专业培训']","""中专"""
百胜中国肯德基校园招聘-营运管培生,杭州肯德基有限公司,5-6,异地招聘,上市公司,10000人以上,快速消费品(食品、饮料、化妆品),[''],"""本科"""
齐家网-平台招商-长春,上海齐家网信息科技股份有限公司,6-12,异地招聘,民营公司,1000-5000人,互联网\电子商务,"['五险一金', '专业培训', '交通补贴', '员工旅游', '股票期权', '年终奖金', '绩效奖金', '餐饮补贴', '通讯补贴', '带薪年休假']","""大专"""
